provider,scope,geographic_resolution,location,country,period,water_flow,value,reported_unit,value_liters,value_qualifier,caveat,source_report_id,source_url,report_year
Google (Alphabet Inc.),Google data-centre location (2025),site,"Inzai, Japan",JP,2025,discharge,21.4,million US gal,81007812.1776,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Inzai, Japan",JP,2025,consumption,73.2,million US gal,277092142.5888,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Jackson County, AL",US,2024,withdrawal,201.6,million US gal,763139015.6544,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Jackson County, AL",US,2024,discharge,18.8,million US gal,71165741.5392,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Jackson County, AL",US,2024,consumption,182.8,million US gal,691973274.1151999,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2025),site,"Jackson County, AL",US,2025,withdrawal,191.0,million US gal,723013650.744,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Jackson County, AL",US,2025,discharge,17.4,million US gal,65866165.0416,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Jackson County, AL",US,2025,consumption,173.6,million US gal,657147485.7024,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Lancaster, OH",US,2024,withdrawal,207.4,million US gal,785094404.0016,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Lancaster, OH",US,2024,discharge,106.3,million US gal,402389272.6392,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Lancaster, OH",US,2024,consumption,101.1,million US gal,382705131.3624,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2025),site,"Lancaster, OH",US,2025,withdrawal,307.1,million US gal,1162499958.8664,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Lancaster, OH",US,2025,discharge,171.3,million US gal,648441038.5992,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Lancaster, OH",US,2025,consumption,135.8,million US gal,514058920.2672,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Leesburg, VA",US,2024,withdrawal,246.7,million US gal,933861087.1128,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Leesburg, VA",US,2024,discharge,55.1,million US gal,208576189.29839998,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Leesburg, VA",US,2024,consumption,191.6,million US gal,725284897.8144,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
